,2,3,4,
8,Albania,Europe,East Europe,
12,Algeria,Africa,North Africa,
16,American Samoa,Australasia ,Pacific Island,
20,Andorra,Europe,West Europe,
24,Angola,Africa,Southern Africa,
28,Antigua,North America,Caribbean,
31,Azerbaijan,Asia,Central Asia,
32,Argentina,South America,South America,
36,Australia,Australasia ,Australasia,
40,Austria,Europe,West Europe,
48,Bahrain,Asia,Middle East,
50,Bangladesh,Asia,Sub Continent,
51,Armenia,Europe,Middle East,
52,Barbados,North America,Caribbean,
56,Belgium,Europe,West Europe,
60,Bermuda,North America,Caribbean,
64,Bhutan,Asia,Sub Continent,
68,Bolivia,South America,South America,
70,Bosnia,Europe,East Europe,
72,Botswana,Africa,Southern Africa,
76,Brazil,South America,South America,
84,Belize,North America,Central America,
100,Bulgaria,Europe,East Europe,
104,Myanmar,Asia,South East Asia,
108,Burundi,Africa,Southern Africa,
112,Belarus,Europe,East Europe,
116,Cambodia,Asia,South East Asia,
120,Cameroon,Africa,West Africa,
124,Canada,North America,North America,
144,Sri Lanka,Asia,Sub Continent,
148,Chad,Africa,West Africa,
152,Chile,South America,South America,
156,China,Asia,East Asia,
158,Taiwan,Asia,East Asia,
170,Colombia,South America,South America,
180,D.R. Congo,Africa,Southern Africa,
184,Cook Islands,Australasia ,Pacific Island,
188,Costa Rica,North America,Central America,
191,Croatia,Europe,East Europe,
192,Cuba,North America,Caribbean,
196,Cyprus (G),Europe,East Europe,
197,Cyprus (T),Europe,East Europe,
203,Czech Rep.,Europe,East Europe,
208,Denmark,Europe,West Europe,
214,Dominican Rep.,North America,Caribbean,
218,Ecuador,South America,South America,
222,El Salvador,North America,Central America,
226,Eq.Guinea,Africa,West Africa,
231,Ethiopia,Africa,East Africa,
232,Eritrea,Africa,East Africa,
233,Estonia,Europe,East Europe,
246,Finland,Europe,East Europe,
250,France,Europe,West Europe,
268,Georgia,Europe,East Europe,
270,Gambia,Africa,West Europe,
275,Palestine,Asia,Middle East,
276,Germany,Europe,West Europe,
288,Ghana,Africa,East Africa,
292,Gibraltar,Europe,West Europe,
300,Greece,Europe,East Europe,
320,Guatemala,North America,Central America,
324,Guinea,Africa,East Africa,
328,Guyana,South America,South America,
332,Haiti,North America,Caribbean,
340,Honduras,North America,Central America,
344,Hong Kong,Asia,East Asia,
348,Hungary,Europe,East Europe,
352,Iceland,Europe,West Europe,
356,India,Asia,Sub Continent,
360,Indonesia,Asia,South East Asia,
364,Iran,Asia,Middle East,
368,Iraq,Asia,Middle East,
372,Ireland,Europe,West Europe,
376,Israel,Europe,Middle East,
380,Italy,Europe,West Europe,
384,Cï¿½te d'Ivoire,Africa,West Africa,
388,Jamaica,North America,Caribbean,
392,Japan,Asia,East Asia,
398,Kazakhstan,Asia,Central Asia,
400,Jordan,Asia,Middle East,
404,Kenya,Africa,East Africa,
408,North Korea,Asia,East Asia,
410,South Korea,Asia,East Asia,
414,Kuwait,Asia,Middle East,
417,Kyrgyzstan,Asia,Central Asia,
418,Laos,Asia,South East Asia,
422,Lebanon,Asia,Middle East,
426,Lesotho,Africa,Southern Africa,
428,Latvia,Europe,East Africa,
430,Liberia,Africa,West Africa,
434,Libya,Africa,North Africa,
438,Liechtenstein,Europe,West Europe,
440,Lithuania,Europe,East Europe,
442,Luxembourg,Europe,West Europe,
450,Madagascar,Africa,Southern Africa,
454,Malawi,Africa,Southern Africa,
458,Malaysia,Asia,South East Asia,
466,Mali,Africa,West Africa,
470,Malta,Europe,West Europe,
474,Martinique,North America,Caribbean,
478,Mauritania,Africa,West Africa,
480,Mauritius,Asia,Sub Continent,
484,Mexico,North America,Central America,
492,Monaco,Europe,West Europe,
496,Mongolia,Asia,East Asia,
498,Moldova,Europe,East Europe,
504,Morocco,Africa,North Africa,
508,Mozambique,Africa,Southern Africa,
512,Oman,Asia,Middle East,
516,Namibia,Africa,Southern Africa,
524,Nepal,Asia,Sub Continent,
528,Netherlands,Europe,West Europe,
554,New Zealand,Australasia ,Australasia,
558,Nicaragua,North America,Central America,
562,Niger,Africa,West Africa,
566,Nigeria,Africa,West Africa,
578,Norway,Europe,West Europe,
586,Pakistan,Asia,Sub Continent,
591,Panama,North America,Central America,
598,Papua New Guinea,Asia,South East Asia,
600,Paraguay,South America,South America,
604,Peru,South America,South America,
608,Philippines,Asia,South East Asia,
616,Poland,Europe,East Europe,
620,Portugal,Europe,West Europe,
624,Guinea-Bissau,Africa,West Africa,
626,Timor-Leste,Asia,South East Asia,
630,Puerto Rico,North America,Caribbean,
634,Qatar,Asia,Middle East,
642,Romania,Europe,East Europe,
643,Russia,Europe,East Europe,
646,Rwanda,Africa,Southern Africa,
682,Saudi Arabia,Asia,Middle East,
686,Senegal,Africa,West Africa,
690,Seychelles,Africa,Sub Continent,
694,Sierra Leone,Africa,West Africa,
702,Singapore,Asia,South East Asia,
703,Slovakia,Europe,East Europe,
704,Viet Nam,Asia,South East Asia,
705,Slovenia,Europe,East Europe,
706,Somalia,Africa,East Africa,
710,South Africa,Africa,Southern Africa,
716,Zimbabwe,Africa,Southern Africa,
724,Spain,Europe,West Europe,
736,Sudan,Africa,East Africa,
740,Suriname,South America,South America,
752,Sweden,Europe,West Europe,
756,Switzerland,Europe,West Europe,
760,Syria,Asia,Middle East,
762,Tajikistan,Asia,Central Asia,
764,Thailand,Asia,South East Asia,
768,Togo,Africa,West Africa,
780,Trinidad and Tobago,North America,Caribbean,
784,United Arab Emirates,Asia,Middle East,
788,Tunisia,Africa,North Africa,
792,Turkey,Europe,Middle East,
795,Turkmenistan,Asia,Central Asia,
800,Uganda,Europe,East Africa,
804,Ukraine,Europe,East Europe,
807,Macedonia,Europe,East Europe,
818,Egypt,Africa,North Africa,
826,Great Britain,Europe,West Europe,
834,Tanzania,Africa,Southern Africa,
840,United States,North America,North America,
850,U.S. Virgin Islands,North America,Caribbean,
854,Burkina Faso,Africa,West Africa,
858,Uruguay,South America,South America,
860,Uzbekistan,Asia,Central Asia,
862,Venezuela,South America,South America,
887,Yemen,Asia,Middle East,
891,Serbia and Montenegro,Europe,East Europe,
894,Zambia,Africa,Southern Africa,
900,West Germany,Europe,West Europe,
901,East Germany,Europe,East Europe,
902,Tambov,Europe,East Europe,
903,Moscow,Europe,East Europe,
904,Basque Country,Europe,West Europe,
906,Andalusia,Europe,West Europe,
907,Galicia,Europe,West Europe,
909,North Ireland,Europe,West Europe,
910,Valencia,Europe,West Europe,
911,Serbia,Europe,East Europe,
912,Montenegro,Europe,East Europe,
913,Srpska Republic,Europe,East Europe,
914,Bosnia,Europe,East Europe,
915,Kosovo,Europe,East Europe,
-5,Missing, Unknown,Unknown,Unknown
-4,Not asked in survey,Unknown,Unknown,
-3,Not applicable,Unknown,Unknown,
-2,No answer,Unknown,Unknown,
-1,Don't know,Unknown,Unknown,
