,ML1,ML2,ML3,ML4,ML5,ML6,ML7,ML8,ML9
Argentina,0.0169429254616,-0.728904103879,0.616425628296,0.0910157170569,-0.315070012962,0.247982323315,-0.200721938939,-0.206160826076,0.469481133713
Belarus,-0.464385005759,-0.0173531709886,-0.511529933083,-0.522527235149,-0.071161741152,-0.710886298484,-0.215436041806,-0.111814250326,-0.0484287356617
Brazil,0.545668616476,-0.322874560034,0.448156059592,-0.120057308739,-0.039354172221,0.323049909196,0.117404780561,0.0949426799527,0.472568561627
Chile,0.221813881167,-0.0407012169228,0.329541934371,-0.10617042021,-0.427566951179,0.169671296735,-0.298520788872,0.0227510452983,0.270067025004
China,-1.22914366669,0.852911115616,-0.448559873007,0.187688784551,0.380475920436,-0.163959715346,-0.00911069199132,0.251997099346,-0.0940128097893
Czech Rep.,-1.04015601881,-0.32688285598,0.046804525769,-0.230341732701,-0.105880830079,-0.143235744966,0.267590532895,-0.572167530341,-0.0308394744983
India,0.262829123765,0.439295375759,-0.0205009502014,-0.229228460734,0.0291629420042,-0.293212276982,0.0677109318333,0.221985599834,-0.631978898175
Japan,-0.991784185264,-0.141628448003,0.105258443138,0.322927579406,0.455282802077,-0.0362464134487,0.411044171002,-0.374845981117,0.0231835940699
Mexico,0.418193942866,-0.311796159374,0.282571523087,-0.495064550344,0.0212126823025,0.439763457777,-0.136388407096,0.00562871997614,0.109740202901
Nigeria,0.961519781569,0.206008804778,-0.451331622231,-0.0430797329733,0.154217124095,0.142692242952,-0.261335534069,0.67337453868,-0.314432204998
Poland,0.377614129128,-0.162622713767,-0.103857429677,0.0439645984373,-0.141983721945,-0.0851146775868,-0.140106502434,0.166586800051,0.0749325976842
Russia,-0.53015833347,-0.147765207009,-0.541008519764,-0.259535878325,-0.154574493624,-0.707574041083,-0.227680179428,-0.0152384060423,-0.0118372956492
Slovakia,-0.184336531841,-0.110087313624,-0.148718754576,-0.443274946241,-0.130484470351,-0.335743791845,0.0756985226587,-0.288101544421,-0.0872927260441
South Africa,0.577204609607,0.349431057217,0.115072843318,-0.243420474463,0.119012252077,0.151255186569,-0.0455064790072,0.158596755857,0.00899986781616
South Korea,-0.467459901689,-0.000328303484813,-0.007275105888,0.0530607812454,0.398728408079,-0.10976258976,0.322366851778,0.0575995520244,-0.582685118543
Spain,-0.488884604902,-0.130024806209,0.588742957157,0.062573699751,-0.390729189617,0.118447635142,0.0755388284204,-0.604853433108,0.360788863514
Switzerland,-0.4176437136,0.0642678951055,0.800448077463,0.101861016205,0.0788176168346,0.593139861534,0.47524709998,-0.691222596918,0.436392627416
Turkey,0.48258523626,0.204114356272,-0.763647463436,0.335178327052,0.0254473082924,-0.0834218522006,-0.344978190603,0.466012635163,-0.487876719274
Australia,-0.562966009545,-0.0644830278756,0.263225223196,0.272100224524,0.217694860198,0.560921168627,0.684431830545,-0.863165854595,0.507339043987
Bangladesh,0.932695077963,1.02799442009,0.267209152257,0.531514977216,0.274964522836,-0.184261177269,-0.0656744955398,1.02159596873,-0.729349301817
Colombia,0.622381176466,-0.338085691574,0.291430268147,0.18953491391,-0.292624993093,0.627240830826,-0.16023896597,0.301762160332,0.34261646472
Finland,-0.565390962019,0.0528801441924,0.337467458429,0.0499502947292,-0.244096779707,0.430442585076,0.476932267136,-0.793271208017,0.248047092162
Great Britain,-0.558190762465,-0.0491322833252,0.372641796953,0.120944036607,-0.0572943040949,0.42746489054,0.420986654562,-0.526105422936,0.332523447195
New Zealand,-0.621027345888,-0.0648105465093,0.300813251736,0.238930524832,0.143275371918,0.620284283962,0.775079395364,-0.769563681104,0.512738568523
Norway,-0.73616613301,0.344431084631,0.688319746064,0.206049774876,0.322548961652,0.562777004618,0.778135528849,-0.683318985385,0.34478851358
Pakistan,0.888938272928,0.101353990702,0.193205836111,0.218745304412,-0.377780743386,-0.15329701699,-0.515486990963,0.786774055916,-0.0834546834127
Peru,0.473438577226,-0.672590416587,0.109809745177,-0.104589208568,-0.144974479384,-0.046902753401,-0.124259348998,0.263239052755,0.274142323947
Philippines,0.844096871796,0.526117602286,-0.0559694443164,-0.754777844349,0.256081814164,0.183568244819,-0.556552476032,0.143115591696,-0.158491495371
Puerto Rico,0.797885368172,0.0299645597616,0.473142749689,0.28192436914,-0.0582258345225,0.714487660222,-0.122990403891,0.354637158843,0.346989033282
Dominican Rep.,0.499582469924,-0.568371641961,0.154541641852,0.0577546990592,0.0658361407091,0.171709498636,0.0814699211708,0.15237100961,0.0889262202004
El Salvador,0.730167321049,-0.333552317956,-0.522334671937,0.183481174538,-0.253391570982,0.516963340574,-0.528709728895,0.594856158502,-0.184700808134
Sweden,-0.992331533896,0.180926300712,0.642217435441,0.0632458294956,0.311416558939,0.615021417177,0.961314546098,-1.166772129,0.515385614876
Uruguay,-0.405595807099,-0.14079277738,0.636860527683,0.144626123309,-0.226577279978,0.361238929067,-0.215026388261,-0.56859857923,0.470830858685
United States,0.238034340866,0.0337703837555,0.194446614948,0.232818605012,0.304184563757,0.547005993915,0.615879736735,-0.320650761938,0.367515796105
Venezuela,0.578604180499,-0.31035409382,-0.135294208138,0.0971135115037,-0.378861025058,0.495296324172,-0.425133308202,0.362125087796,-0.0275563126577
Albania,-0.140912670287,-0.11700572592,-0.395362039658,-0.129423002004,-0.345034457718,-0.580668321095,-0.0509045589983,0.182681980656,-0.184843730187
Armenia,0.223323681026,-0.237200343019,-0.531400785032,-0.0301487748893,0.0424806482947,-0.57619219537,-0.416584406959,0.448123822427,-0.349324688576
Azerbaijan,0.0755939303285,0.416581002585,-0.914019823583,0.011450316701,-0.120701643908,-0.293747936465,-0.702958051571,0.454181349122,-0.504532922876
Bosnia,0.0813341600829,-0.0644376319407,-0.262813327901,0.255532439389,-0.006722259043,-0.121977855337,0.0960956935647,0.203488002916,-0.0342983825964
Bulgaria,-0.661182795902,-0.238715420557,-0.244524457024,0.102209674564,-0.0395766926097,-0.723605888075,-0.154672065749,-0.0958492358515,-0.217705428593
Croatia,-0.0722420339476,-0.427130108148,-0.0194027643629,-0.154031648111,-0.24134219538,-0.111088493325,0.307870313482,-0.0508987671935,0.125478612265
Estonia,-0.857886476978,-0.111377525117,-0.35144557392,-0.0440332686892,-0.156692912821,-0.48796727356,-0.0766335988258,-0.150777491603,-0.105875825153
Georgia,0.556309349738,-0.1215164307,-0.695900823261,0.201248866825,0.146843199006,-0.537697325726,-0.407993089623,0.556558236286,-0.223831158086
Germany,-0.887443556298,-0.136125944156,0.490770974857,0.0586853046072,0.176608852672,0.0825224800091,0.555458405885,-0.69223827372,0.278866692674
Hungary,-0.545278000797,-0.273885141137,-0.229374059226,-0.153033611056,-0.328935440304,-0.390545960344,-0.358296694654,-0.190045127582,-0.0683554673121
Latvia,-0.562555116173,-0.346395223139,-0.355888983047,-0.15325061334,-0.0947586517603,-0.631678254365,0.194357766343,-0.0956858047571,0.0718109497583
Lithuania,-0.313303707986,-0.268173281083,-0.598982229273,-0.233111007199,-0.0381352971845,-0.611414756879,0.194477554926,0.137519189658,-0.10521927024
Macedonia,0.0307207819197,-0.496048746923,-0.266747713501,0.17350177359,0.0119037131779,-0.200414583909,0.234286771514,0.189272738438,-0.130013167205
Moldova,0.125074341899,-0.235446816054,-0.565720359365,-0.54854903474,-0.161548738107,-0.898203366817,-0.316985545871,0.261046724611,-0.0455451758462
Serbia and Montenegro,-0.256574003121,-0.388966324671,-0.3916876259,-0.141576498025,-0.251736298831,-0.39652700299,0.053236148395,-0.0587288159493,-0.0425751231353
Romania,0.363121444033,-0.396922731665,-0.252983077256,0.107743298081,-0.410798457074,-0.429087766608,-0.33670602084,0.236256703209,-0.175457489733
Slovenia,-0.596601782581,-0.33079877321,0.157935992931,-0.0184101641812,-0.363127272624,-0.0685005018667,0.129262756414,-0.616692268576,-0.0554098958417
Ukraine,-0.147949707693,-0.344839567488,-0.433782095851,-0.321517798182,-0.176539446421,-0.70732011838,-0.375718737614,0.0939191454498,0.0430036841974
Taiwan,-0.496712090476,-0.0635831917281,-0.457465122254,0.07797763016,-0.126088065613,0.0641573260985,-0.362313326039,-0.060418966353,-0.0465305704563
Algeria,0.722161763644,-0.120365990776,-0.393917478384,-0.288099157343,0.0012413665581,-0.219982969418,-0.283061420594,0.513345374389,-0.248535955276
Canada,-0.065173323169,0.0943538279505,0.430877977304,0.237468521893,0.128764566387,0.625480153509,0.620317797833,-0.512933934386,0.481073879302
Egypt,0.846020332429,0.168711304246,-0.603628576399,0.262405821041,0.064799663197,-0.532881411895,-0.583099529088,0.547221079077,-0.464525544909
Indonesia,0.926700129821,0.210816974175,-0.096863981628,0.229295287904,0.0911502286176,0.141420735134,-0.412028994526,0.843042697187,-0.523878608514
Iraq,0.775312244334,-0.0774024810423,-0.47428296674,0.175641430763,0.249392310308,-0.529947047364,-0.339244544423,0.804718397882,-0.375298781053
Iran,0.72183450953,0.24253300651,0.19763592179,0.135080231523,0.15044705582,-0.129739486733,-0.23769406623,0.683086882786,-0.375686314394
Israel,-0.0194070990001,-0.00432808090196,0.217212234496,0.119198157315,0.300066646293,0.0934250146753,0.230583036376,-0.515207659507,0.162546920928
Jordan,0.928441590142,0.528435648909,-0.813830950729,0.397916548134,-0.0378043509141,0.084978007423,-0.838028436658,0.847147454465,-0.670696491996
Kyrgyzstan,0.113509864151,0.034379013441,-0.46473814856,-0.214800446829,0.237047550574,-0.025689821164,-0.502129680053,0.467865106337,-0.259793577296
Morocco,0.950345328052,0.0577904528467,-0.584944730317,0.317585713642,-0.411486661712,-0.255276724113,-0.486876730671,0.711537783355,-0.102737055444
Saudi Arabia,0.788923482657,0.680226190753,-0.564820587299,0.0360139157661,0.38916262753,0.350714043399,-0.164466636931,0.579737039378,-0.56671557128
Singapore,0.190857430627,0.406623367205,0.0532134028032,-0.132360084555,0.132669807006,0.278309412165,-0.253115116374,0.097211307236,-0.027650010685
Tanzania,0.938751523933,1.04280120096,-0.293850983485,0.347236471152,0.674179941742,-0.339799414785,-0.00694672122353,0.802970344033,-0.0437363046612
Uganda,0.827197365385,0.733381229794,-0.220976270045,-0.206862460427,0.376444668443,-0.099266744384,0.0380074049653,0.65484635863,0.0397720546712
Viet Nam,-0.656804393988,1.70081346843,0.32211681403,0.344732256062,0.737802126923,0.130044099269,-0.528384974172,0.586983060297,-0.475229754288
Zimbabwe,0.865375590472,0.238131196095,-0.0635462658991,0.131405187672,-0.0138835132272,-0.281866823615,-0.330970972373,0.757038345946,0.0589332509405
Andorra,-0.900750323941,-0.275101580295,0.6926190075,-0.0959451550012,-0.145404690978,0.392311620047,0.577601831124,-1.48405250804,0.619762396059
Trinidad and Tobago,0.682258064063,-0.310660206196,-0.0582506698939,0.178297241929,-0.120364206922,0.440207764965,0.0643764304373,0.498467340874,0.410721840839
Burkina Faso,0.800172645477,0.107881051587,-0.311256914797,-0.214680264549,0.205038682507,-0.262958566124,0.128098917809,0.459356385045,0.0996371249334
Cyprus (G),0.286345340569,0.150939684362,0.0966064446645,0.17160427669,0.0101974628286,0.236100234098,-0.0248160192122,0.001605259151,-0.125422309795
Ghana,0.999746927893,0.515695306352,-0.321541235331,0.118256439578,0.180105393015,0.188753195546,-0.465525939995,0.714378468887,-0.191970730322
Malaysia,0.654710026657,0.708156701683,-0.304466010106,-0.474841495525,0.217162206721,0.385267636736,-0.652429081142,0.342680133358,-0.652493978323
Italy,0.076144638312,-0.194325677337,0.379714161218,0.161364301825,-0.148829105303,0.082597911856,0.460167870663,-0.130677935531,0.16393166727
Mali,0.882576506553,0.557509224641,-0.19745142628,-0.548127426394,0.329729702733,-0.0254328789403,-0.0144972916606,0.0828916733559,-0.216872505528
Rwanda,0.506921063259,0.555661424859,-0.0550488004937,0.0694539783314,0.371925681188,-0.122241421827,-0.351730195292,0.669072927631,-0.0925401534625
Thailand,0.085555508786,0.130757343822,0.0114796911282,-0.23442542666,0.676509319384,0.280866669216,-0.427245623673,0.320902178955,-0.5792631426
Zambia,0.740361101367,-0.00290876104841,-0.134298986387,-0.728464073747,0.277061344188,-0.225536325899,0.015860219026,0.103466301628,-0.249737597543
Ethiopia,0.593257336636,-0.246695699278,-0.0893898480648,0.234497466105,0.78091881505,-0.256715860232,0.22538977287,0.614549538496,0.0395656906108
France,-0.775007188646,-0.0909446498801,0.564481231364,-0.240643943332,-0.121839987205,0.153916242248,0.540102865269,-0.707861989886,0.254029209555
Guatemala,0.836622974613,-0.572346725604,0.547577903427,-0.345417175255,-0.134563224717,0.480078116924,-0.631752762654,0.215464695914,0.360795561458
Hong Kong,-0.878225360486,0.257941610602,-0.054186604988,-0.165402533414,-0.023357043222,-0.10100828716,0.0457058054135,-0.156236026369,-0.0952235621894
Netherlands,-0.763618129605,0.000614454518775,0.521268960817,0.0609859341986,0.198718573925,0.487128269033,0.48412952453,-1.12520037067,0.437978310465
Qatar,0.97599289133,1.3191761118,-0.643730718683,0.262361030591,0.56002004637,0.729218568434,-0.271209164044,0.731674427768,-0.287738004277
Uzbekistan,0.156657904613,1.59799122987,-0.694663074343,0.156065087884,0.110266480205,0.51366857704,-0.448079775181,0.536573466848,-0.0121659168527
Kazakhstan,-0.203029151175,0.518922941718,-0.57460996569,-0.243099893957,0.0809422015594,0.0563400156173,-0.731204690375,0.146057811637,-0.0834942541909
Palestine,0.699981028068,-0.210621098421,-0.457216088725,-0.157321723682,0.21767976738,-0.307329420397,-0.177028532707,0.644296919771,-0.669041178519
Ecuador,0.61783316469,-0.182446874159,0.344708616042,-0.0251356091367,0.0240090819448,0.582147479388,-0.643674009923,0.377562454106,-0.351137013116
Libya,0.76578822779,-0.369856929195,-0.545222213604,0.222910541649,0.365697950296,0.299901803943,-0.348559226255,0.679216525511,-0.939106979684
Yemen,0.865242440193,-0.637645149775,-0.634745108637,0.161037608453,-0.0518238889871,-0.283844060377,-0.479246841059,0.609101329045,-0.382216392334
Lebanon,0.178017670923,-0.302011158513,-0.0460313892899,-0.549503082197,0.147306071283,-0.114500821299,-0.171947806055,0.148661371343,-0.544032623544
Tunisia,0.675614680289,-0.67877869649,-0.322341157817,0.165298881916,-0.0609917825683,-0.248978273277,-0.535804300745,0.666041145115,-0.0359463889825
Bahrain,0.369151057385,0.763258726023,0.879983011154,-0.0867974556277,0.465393390367,-0.105696333809,-0.292035490279,0.499175402182,-0.311955028095
Kuwait,0.724401642567,0.390198951957,-0.377345947067,-0.297262156342,0.474272363419,0.393704631529,-0.262722760524,0.427799318017,-0.43517693927
Austria,-0.327815900039,-0.108931951781,0.408589865182,0.0984428005877,0.0384763351258,0.418387615763,0.241204938251,-0.424159166049,0.159863400599
Belgium,-0.588916501017,-0.119410752298,0.643632860036,-0.235157830861,-0.257923567458,0.339139921221,0.381959709075,-0.520942039476,0.25313981007
Cyprus (T),0.190554274407,0.18186449764,0.572348739992,0.558697458589,0.0453189988086,-0.0946478315939,-0.0333408965034,0.342458208734,-0.828212325077
Denmark,-0.772535860244,0.273061620908,0.723544597671,0.356905473469,0.192794638928,0.724045106086,0.647558057065,-0.972745778768,0.459212430876
Greece,0.106167550343,-0.515601773021,0.464003062488,-0.246698610155,0.0722862625572,0.0203120357301,0.18592050514,-0.255450272563,0.141954498137
Iceland,-0.332209949034,0.181270995233,0.448277659167,0.27040061109,0.0661206535198,0.681172808546,0.758505526941,-0.710224558924,0.54453237426
Ireland,0.234287015139,0.20536914316,0.413426034366,0.155538052123,-0.114964934345,0.668518059804,0.25191758239,0.0466666335419,0.253415124256
Luxembourg,-0.626300683007,0.27296234656,0.663219890771,-0.175678048844,0.0397218234473,0.450479975632,0.525887600372,-0.703697205344,0.305522843693
Malta,0.689415621222,0.208620714213,0.154938683681,0.513408727843,-0.0702170964125,0.464542589178,-0.0938049697684,0.665889476855,0.0004919146614
Portugal,0.0399319117737,-0.0155625171747,0.328727555494,-0.0215943350019,-0.445800748218,-0.126829492662,-0.0944281043618,0.0157198822244,0.214298932324
North Ireland,0.055197650756,0.0268366196693,0.254884654069,0.194779440079,-0.203967225597,0.533637337266,0.18400238495,0.0391686391946,0.23475660538
Kosovo,0.573163372687,0.673065917017,-0.10946627348,0.435977657173,0.291142969774,0.00347422749317,0.497951243234,0.813138338697,-0.393564863828
